,,,,,,,Playing Time,,,,Performance,,,,,,Per 90 Minutes,,,,,Expected,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
16,Alisson,br BRA,GK,Liverpool,28-096,1992,14,14,"1,260",14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Allan,br BRA,MF,Everton,29-364,1991,12,12,"1,028",11.4,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
18,Dele Alli,eng ENG,"MF,FW",Tottenham,24-270,1996,4,1,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.22,0,0.22,0.22,0.22,Matches
19,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,26-331,1994,15,9,844,9.4,1,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,1,1,0.9,0.1,0.1,0.2,0.1,0.2,Matches
20,Marcos Alonso,es ESP,DF,Chelsea,30-009,1990,3,3,225,2.5,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.03,0.02,0.05,0.03,0.05,Matches
21,Steven Alzate,co COL,MF,Brighton,22-120,1998,8,5,522,5.8,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.04,0.06,0.1,0.04,0.1,Matches
22,Daniel Amartey,gh GHA,DF,Leicester City,26-016,1994,4,3,265,2.9,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.02,0,0.02,0.02,0.02,Matches
23,Ethan Ampadu,wal WAL,"MF,DF",Sheffield Utd,20-114,2000,11,10,881,9.8,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.01,0.05,0.06,0.01,0.06,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,24-220,1996,9,9,781,8.7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,Matches
25,Felipe Anderson,br BRA,"FW,MF",West Ham,27-266,1993,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
26,Michail Antonio,eng ENG,FW,West Ham,30-284,1990,9,7,572,6.4,3,0,0,0,1,0,0.47,0,0.47,0.47,0.47,2.8,2.8,0.4,0.44,0.07,0.51,0.44,0.51,Matches
27,Alphonse Areola,fr FRA,GK,Fulham,27-314,1993,14,14,"1,260",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
