,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
133,Bruno Fernandes,pt POR,MF,Manchester Utd,26-120,1994,14.4,32,23,12,15,5,10,42,23.8,32,285,74,26,44,136,105,30,1,0,29,6,38,13,0,Matches
134,Federico Fernández,ar ARG,DF,Newcastle Utd,31-320,1989,14.5,26,13,18,6,2,11,19,57.9,8,119,32,26.9,78,36,5,35,21,0,14,7,33,95,1,Matches
135,Fernandinho,br BRA,MF,Manchester City,35-247,1985,3.8,7,5,0,5,2,2,10,20,8,54,15,27.8,6,40,8,2,0,0,2,4,11,5,0,Matches
136,Sam Field,eng ENG,MF,West Brom,22-243,1998,0.7,9,7,4,5,0,2,3,66.7,1,22,10,45.5,8,13,1,6,1,0,5,0,9,4,0,Matches
137,Roberto Firmino,br BRA,"FW,MF",Liverpool,29-096,1991,15.5,19,11,3,6,10,6,16,37.5,10,230,66,28.7,29,93,108,25,0,0,25,4,23,7,0,Matches
138,John Fleck,sco SCO,MF,Sheffield Utd,29-135,1991,8.7,13,6,6,5,2,2,15,13.3,13,132,33,25,43,65,24,11,0,0,11,6,19,5,0,Matches
139,Phil Foden,eng ENG,"FW,DF",Manchester City,20-223,2000,6.6,9,3,3,3,3,3,8,37.5,5,103,26,25.2,17,40,46,4,0,0,4,3,12,2,0,Matches
140,Wesley Fofana,fr FRA,DF,Leicester City,20-020,2000,12,29,19,19,9,1,5,17,29.4,12,115,39,33.9,75,38,2,28,12,0,16,21,50,50,0,Matches
141,Pablo Fornals,es ESP,"MF,FW",West Ham,24-319,1996,14,14,8,3,9,2,4,40,10,36,266,53,19.9,91,122,53,26,1,0,25,8,22,3,1,Matches
142,Fraser Forster,eng ENG,GK,Southampton,32-295,1988,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
143,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,23-004,1998,0.9,3,1,2,1,0,1,1,100,0,7,2,28.6,3,4,0,1,0,0,1,1,4,1,0,Matches
144,Ryan Fraser,sco SCO,MF,Newcastle Utd,26-317,1994,3.1,1,0,1,0,0,0,0,,0,35,5,14.3,10,16,9,4,0,0,4,1,2,2,0,Matches
145,Fred,br BRA,MF,Manchester Utd,27-307,1993,10.1,29,16,15,13,1,7,31,22.6,24,240,67,27.9,87,113,40,21,3,0,18,18,47,7,1,Matches
